date,# of CTN,Lag_7
2024-06-03,1986.0,1610.0
2024-06-04,2919.0,1707.0
2024-06-05,2572.0,1310.0
2024-06-06,3384.0,1319.0
2024-06-07,2416.0,1315.0
2024-06-08,15.0,21.0
2024-06-09,0.0,0.0
2024-06-10,0.0,1986.0
2024-06-11,2633.0,2919.0
2024-06-12,2322.0,2572.0
2024-06-13,2169.0,3384.0
2024-06-14,2775.0,2416.0
2024-06-15,75.0,15.0
2024-06-16,0.0,0.0
2024-06-17,1519.0,0.0
2024-06-18,2231.0,2633.0
2024-06-19,1701.0,2322.0
2024-06-20,2502.0,2169.0
